Date,N,D,S,I,R
22-01-2020,25550683,0,25550683,0,0
23-01-2020,25550683,0,25550683,0,0
24-01-2020,25550683,0,25550683,0,0
25-01-2020,25550683,0,25550683,0,0
26-01-2020,25550683,0,25550679,4,0
27-01-2020,25550683,0,25550678,5,0
28-01-2020,25550683,0,25550678,5,0
29-01-2020,25550683,0,25550677,6,0
30-01-2020,25550683,0,25550674,7,2
31-01-2020,25550683,0,25550674,7,2
01-02-2020,25550683,0,25550671,10,2
02-02-2020,25550683,0,25550671,10,2
03-02-2020,25550683,0,25550671,10,2
04-02-2020,25550683,0,25550670,11,2
05-02-2020,25550683,0,25550670,11,2
06-02-2020,25550683,0,25550669,12,2
07-02-2020,25550683,0,25550668,13,2
08-02-2020,25550683,0,25550668,13,2
09-02-2020,25550683,0,25550668,13,2
10-02-2020,25550683,0,25550668,13,2
11-02-2020,25550683,0,25550668,13,2
12-02-2020,25550683,0,25550668,13,2
13-02-2020,25550683,0,25550668,7,8
14-02-2020,25550683,0,25550668,7,8
15-02-2020,25550683,0,25550668,7,8
16-02-2020,25550683,0,25550668,7,8
17-02-2020,25550683,0,25550668,5,10
18-02-2020,25550683,0,25550668,5,10
19-02-2020,25550683,0,25550668,5,10
20-02-2020,25550683,0,25550668,5,10
21-02-2020,25550683,0,25550668,4,11
22-02-2020,25550683,0,25550668,4,11
23-02-2020,25550683,0,25550668,4,11
24-02-2020,25550683,0,25550668,4,11
25-02-2020,25550683,0,25550668,4,11
26-02-2020,25550683,0,25550668,4,11
27-02-2020,25550683,0,25550668,4,11
28-02-2020,25550683,0,25550668,4,11
29-02-2020,25550683,0,25550658,14,11
01-03-2020,25550683,1,25550656,15,12
02-03-2020,25550683,1,25550653,18,12
03-03-2020,25550683,1,25550644,27,12
04-03-2020,25550683,2,25550631,39,13
05-03-2020,25550683,2,25550628,32,23
06-03-2020,25550683,2,25550623,37,23
07-03-2020,25550683,2,25550620,40,23
08-03-2020,25550683,3,25550607,52,24
09-03-2020,25550683,3,25550592,67,24
10-03-2020,25550683,3,25550576,83,24
11-03-2020,25550683,3,25550555,104,24
12-03-2020,25550683,3,25550555,104,24
13-03-2020,25550683,3,25550483,174,26
14-03-2020,25550683,3,25550433,224,26
15-03-2020,25550683,3,25550386,271,26
16-03-2020,25550683,3,25550306,351,26
17-03-2020,25550683,5,25550231,424,28
18-03-2020,25550683,6,25550115,539,29
19-03-2020,25550683,6,25550002,649,32
20-03-2020,25550683,7,25549892,758,33
21-03-2020,25550683,7,25549612,1038,33
22-03-2020,25550683,7,25549134,1454,95
23-03-2020,25550683,7,25549001,1587,95
24-03-2020,25550683,8,25548639,1921,123
25-03-2020,25550683,8,25548319,2237,127
26-03-2020,25550683,13,25547873,2625,185
27-03-2020,25550683,13,25547540,2936,207
28-03-2020,25550683,14,25547043,3382,258
29-03-2020,25550683,16,25546699,3724,260
30-03-2020,25550683,17,25546322,4087,274
31-03-2020,25550683,18,25546124,4183,376
01-04-2020,25550683,20,25545821,4420,442
02-04-2020,25550683,24,25545567,4572,544
03-04-2020,25550683,28,25545353,4653,677
04-04-2020,25550683,30,25545133,4819,731
05-04-2020,25550683,35,25544996,4895,792
06-04-2020,25550683,40,25544886,4677,1120
07-04-2020,25550683,45,25544788,4770,1125
08-04-2020,25550683,50,25544673,4880,1130
09-04-2020,25550683,51,25544575,4585,1523
10-04-2020,25550683,54,25544468,4368,1847
11-04-2020,25550683,57,25544380,4440,1863
12-04-2020,25550683,60,25544368,4449,1866
13-04-2020,25550683,61,25544332,4484,1867
14-04-2020,25550683,62,25544268,4167,2248
15-04-2020,25550683,63,25544243,4191,2249
16-04-2020,25550683,63,25544221,4044,2418
17-04-2020,25550683,66,25544161,2648,3874
18-04-2020,25550683,67,25544115,2377,4191
19-04-2020,25550683,67,25544073,2419,4191
20-04-2020,25550683,67,25544060,2265,4358
21-04-2020,25550683,67,25544038,1883,4762
22-04-2020,25550683,67,25544031,1653,4999
23-04-2020,25550683,75,25544021,1540,5122
24-04-2020,25550683,79,25544006,1462,5215
25-04-2020,25550683,80,25543989,1238,5456
26-04-2020,25550683,83,25543969,1090,5624
27-04-2020,25550683,83,25543962,1050,5671
28-04-2020,25550683,89,25543939,990,5754
29-04-2020,25550683,91,25543931,946,5806
30-04-2020,25550683,93,25543917,931,5835
01-05-2020,25550683,93,25543905,910,5868
02-05-2020,25550683,94,25543884,891,5908
03-05-2020,25550683,95,25543861,878,5944
04-05-2020,25550683,96,25543836,864,5983
05-05-2020,25550683,97,25543808,803,6072
06-05-2020,25550683,97,25543789,766,6128
07-05-2020,25550683,97,25543770,738,6175
08-05-2020,25550683,97,25543765,699,6219
09-05-2020,25550683,97,25543744,701,6238
10-05-2020,25550683,97,25543735,684,6264
11-05-2020,25550683,97,25543713,660,6310
12-05-2020,25550683,98,25543703,612,6368
13-05-2020,25550683,98,25543694,594,6395
14-05-2020,25550683,98,25543664,587,6432
15-05-2020,25550683,98,25543648,578,6457
16-05-2020,25550683,98,25543639,582,6462
17-05-2020,25550683,99,25543629,563,6491
18-05-2020,25550683,99,25543615,556,6512
19-05-2020,25550683,100,25543611,541,6531
20-05-2020,25550683,100,25543602,511,6570
21-05-2020,25550683,101,25543588,516,6579
22-05-2020,25550683,101,25543584,513,6586
23-05-2020,25550683,102,25543569,504,6610
24-05-2020,25550683,102,25543569,481,6633
25-05-2020,25550683,102,25543557,472,6654
26-05-2020,25550683,103,25543544,476,6663
27-05-2020,25550683,103,25543533,468,6682
28-05-2020,25550683,103,25543518,486,6679
29-05-2020,25550683,103,25543499,476,6708
30-05-2020,25550683,103,25543491,475,6717
31-05-2020,25550683,103,25543481,481,6721
01-06-2020,25550683,102,25543462,493,6728
02-06-2020,25550683,102,25543454,491,6738
03-06-2020,25550683,102,25543443,490,6750
04-06-2020,25550683,102,25543436,462,6785
05-06-2020,25550683,102,25543431,462,6790
06-06-2020,25550683,102,25543424,454,6805
07-06-2020,25550683,102,25543418,457,6808
08-06-2020,25550683,102,25543416,445,6822
09-06-2020,25550683,102,25543409,432,6842
10-06-2020,25550683,102,25543398,424,6861
11-06-2020,25550683,102,25543394,405,6884
12-06-2020,25550683,102,25543389,389,6905
13-06-2020,25550683,102,25543363,380,6940
14-06-2020,25550683,102,25543348,382,6953
15-06-2020,25550683,102,25543336,389,6958
16-06-2020,25550683,102,25543313,407,6963
