Date,N,D,S,I,R
22-01-2020,11598451,0,11598451,0,0
23-01-2020,11598451,0,11598451,0,0
24-01-2020,11598451,0,11598451,0,0
25-01-2020,11598451,0,11598451,0,0
26-01-2020,11598451,0,11598451,0,0
27-01-2020,11598451,0,11598451,0,0
28-01-2020,11598451,0,11598451,0,0
29-01-2020,11598451,0,11598451,0,0
30-01-2020,11598451,0,11598451,0,0
31-01-2020,11598451,0,11598451,0,0
01-02-2020,11598451,0,11598451,0,0
02-02-2020,11598451,0,11598451,0,0
03-02-2020,11598451,0,11598451,0,0
04-02-2020,11598451,0,11598450,1,0
05-02-2020,11598451,0,11598450,1,0
06-02-2020,11598451,0,11598450,1,0
07-02-2020,11598451,0,11598450,1,0
08-02-2020,11598451,0,11598450,1,0
09-02-2020,11598451,0,11598450,1,0
10-02-2020,11598451,0,11598450,1,0
11-02-2020,11598451,0,11598450,1,0
12-02-2020,11598451,0,11598450,1,0
13-02-2020,11598451,0,11598450,1,0
14-02-2020,11598451,0,11598450,1,0
15-02-2020,11598451,0,11598450,1,0
16-02-2020,11598451,0,11598450,1,0
17-02-2020,11598451,0,11598450,0,1
18-02-2020,11598451,0,11598450,0,1
19-02-2020,11598451,0,11598450,0,1
20-02-2020,11598451,0,11598450,0,1
21-02-2020,11598451,0,11598450,0,1
22-02-2020,11598451,0,11598450,0,1
23-02-2020,11598451,0,11598450,0,1
24-02-2020,11598451,0,11598450,0,1
25-02-2020,11598451,0,11598450,0,1
26-02-2020,11598451,0,11598450,0,1
27-02-2020,11598451,0,11598450,0,1
28-02-2020,11598451,0,11598450,0,1
29-02-2020,11598451,0,11598450,0,1
01-03-2020,11598451,0,11598449,1,1
02-03-2020,11598451,0,11598443,7,1
03-03-2020,11598451,0,11598438,12,1
04-03-2020,11598451,0,11598428,22,1
05-03-2020,11598451,0,11598401,49,1
06-03-2020,11598451,0,11598342,108,1
07-03-2020,11598451,0,11598282,168,1
08-03-2020,11598451,0,11598251,199,1
09-03-2020,11598451,0,11598212,238,1
10-03-2020,11598451,0,11598184,266,1
11-03-2020,11598451,3,11598137,310,4
12-03-2020,11598451,3,11598137,310,4
13-03-2020,11598451,3,11597892,555,4
14-03-2020,11598451,4,11597762,684,5
15-03-2020,11598451,4,11597565,881,5
16-03-2020,11598451,5,11597393,1052,6
17-03-2020,11598451,10,11597208,1232,11
18-03-2020,11598451,14,11596965,1441,45
19-03-2020,11598451,21,11596656,1743,52
20-03-2020,11598451,37,11596194,2219,38
21-03-2020,11598451,67,11595636,2485,330
22-03-2020,11598451,75,11595050,3063,338
23-03-2020,11598451,88,11594708,3392,351
24-03-2020,11598451,122,11594182,3686,583
25-03-2020,11598451,178,11593514,4212,725
26-03-2020,11598451,220,11592216,5340,895
27-03-2020,11598451,289,11591167,6137,1147
28-03-2020,11598451,353,11589317,7718,1416
29-03-2020,11598451,431,11587615,9046,1790
30-03-2020,11598451,513,11586552,9859,2040
31-03-2020,11598451,705,11585676,10374,2401
01-04-2020,11598451,828,11584487,11004,2960
02-04-2020,11598451,1011,11583103,11842,3506
03-04-2020,11598451,1143,11581681,12755,4015
04-04-2020,11598451,1283,11580020,13901,4530
05-04-2020,11598451,1447,11578760,14493,5198
06-04-2020,11598451,1632,11577637,15196,5618
07-04-2020,11598451,2035,11576257,16002,6192
08-04-2020,11598451,2240,11575048,16482,6921
09-04-2020,11598451,2523,11573468,17296,7687
10-04-2020,11598451,3019,11571784,18080,8587
11-04-2020,11598451,3346,11570433,18686,9332
12-04-2020,11598451,3600,11568804,19584,10063
13-04-2020,11598451,3903,11567862,19979,10610
14-04-2020,11598451,4157,11567332,20094,11025
15-04-2020,11598451,4440,11564878,22026,11547
16-04-2020,11598451,4857,11563642,22390,12419
17-04-2020,11598451,5163,11562313,23014,13124
18-04-2020,11598451,5453,11561268,23382,13801
19-04-2020,11598451,5683,11559955,24056,14440
20-04-2020,11598451,5828,11558468,25260,14723
21-04-2020,11598451,5998,11557495,25956,15000
22-04-2020,11598451,6262,11556562,26194,15695
23-04-2020,11598451,6490,11555654,26507,16290
24-04-2020,11598451,6679,11554158,27492,16801
25-04-2020,11598451,6917,11553126,27991,17334
26-04-2020,11598451,7094,11552317,28255,17879
27-04-2020,11598451,7207,11551764,28602,18085
28-04-2020,11598451,7331,11551117,29060,18274
29-04-2020,11598451,7501,11550592,29075,18784
30-04-2020,11598451,7594,11549932,29349,19170
01-05-2020,11598451,7703,11549419,29437,19595
02-05-2020,11598451,7765,11548934,29541,19976
03-05-2020,11598451,7844,11548545,29753,20153
04-05-2020,11598451,7924,11548184,29965,20302
05-05-2020,11598451,8016,11547942,30052,20457
06-05-2020,11598451,8339,11547670,29711,21070
07-05-2020,11598451,8415,11547031,30025,21395
08-05-2020,11598451,8521,11546440,30289,21722
09-05-2020,11598451,8581,11545855,30604,21992
10-05-2020,11598451,8656,11545370,30783,22298
11-05-2020,11598451,8707,11545002,31045,22404
12-05-2020,11598451,8761,11544672,31286,22493
13-05-2020,11598451,8843,11544470,31201,22780
14-05-2020,11598451,8903,11544163,31274,23014
15-05-2020,11598451,8959,11543807,31384,23260
16-05-2020,11598451,9005,11543462,31524,23465
17-05-2020,11598451,9052,11543171,31598,23682
18-05-2020,11598451,9080,11542892,31822,23737
19-05-2020,11598451,9108,11542660,31996,23795
20-05-2020,11598451,9150,11542468,31986,23997
21-05-2020,11598451,9186,11542216,32061,24174
22-05-2020,11598451,9212,11541940,32176,24335
23-05-2020,11598451,9237,11541641,32418,24392
24-05-2020,11598451,9280,11541359,32540,24552
25-05-2020,11598451,9312,11541109,32733,24609
26-05-2020,11598451,9334,11540996,32801,24654
27-05-2020,11598451,9364,11540859,32763,24829
28-05-2020,11598451,9388,11540602,32889,24960
29-05-2020,11598451,9430,11540390,32949,25112
30-05-2020,11598451,9453,11540265,32964,25222
31-05-2020,11598451,9467,11540070,33027,25354
01-06-2020,11598451,9486,11539934,33112,25405
02-06-2020,11598451,9505,11539836,33176,25439
03-06-2020,11598451,9522,11539766,33204,25481
04-06-2020,11598451,9548,11539684,33171,25596
05-06-2020,11598451,9566,11539544,33229,25678
06-06-2020,11598451,9580,11539379,33302,25770
07-06-2020,11598451,9595,11539225,33340,25886
08-06-2020,11598451,9606,11539103,33427,25921
09-06-2020,11598451,9619,11539014,33494,25943
10-06-2020,11598451,9629,11538882,33548,26021
11-06-2020,11598451,9636,11538740,33622,26089
12-06-2020,11598451,9646,11538632,33675,26144
13-06-2020,11598451,9650,11538533,33721,26197
14-06-2020,11598451,9655,11538422,33785,26244
15-06-2020,11598451,9661,11538351,33829,26271
16-06-2020,11598451,9663,11538296,33867,26288
17-06-2020,11598451,9675,11538207,33885,26359
18-06-2020,11598451,9683,11538103,33941,26407
19-06-2020,11598451,9695,11537975,34030,26446
20-06-2020,11598451,9696,11537901,34083,26467
21-06-2020,11598451,9696,11537901,34083,26467
22-06-2020,11598451,9696,11537901,34083,26467
23-06-2020,11598451,9713,11537641,34326,26484
