Date,N,D,S,I,R
22-01-2020,1382345085,0,1382345085,0,0
23-01-2020,1382345085,0,1382345085,0,0
24-01-2020,1382345085,0,1382345085,0,0
25-01-2020,1382345085,0,1382345085,0,0
26-01-2020,1382345085,0,1382345085,0,0
27-01-2020,1382345085,0,1382345085,0,0
28-01-2020,1382345085,0,1382345085,0,0
29-01-2020,1382345085,0,1382345085,0,0
30-01-2020,1382345085,0,1382345084,1,0
31-01-2020,1382345085,0,1382345084,1,0
01-02-2020,1382345085,0,1382345084,1,0
02-02-2020,1382345085,0,1382345083,2,0
03-02-2020,1382345085,0,1382345082,3,0
04-02-2020,1382345085,0,1382345082,3,0
05-02-2020,1382345085,0,1382345082,3,0
06-02-2020,1382345085,0,1382345082,3,0
07-02-2020,1382345085,0,1382345082,3,0
08-02-2020,1382345085,0,1382345082,3,0
09-02-2020,1382345085,0,1382345082,3,0
10-02-2020,1382345085,0,1382345082,3,0
11-02-2020,1382345085,0,1382345082,3,0
12-02-2020,1382345085,0,1382345082,3,0
13-02-2020,1382345085,0,1382345082,3,0
14-02-2020,1382345085,0,1382345082,3,0
15-02-2020,1382345085,0,1382345082,3,0
16-02-2020,1382345085,0,1382345082,0,3
17-02-2020,1382345085,0,1382345082,0,3
18-02-2020,1382345085,0,1382345082,0,3
19-02-2020,1382345085,0,1382345082,0,3
20-02-2020,1382345085,0,1382345082,0,3
21-02-2020,1382345085,0,1382345082,0,3
22-02-2020,1382345085,0,1382345082,0,3
23-02-2020,1382345085,0,1382345082,0,3
24-02-2020,1382345085,0,1382345082,0,3
25-02-2020,1382345085,0,1382345082,0,3
26-02-2020,1382345085,0,1382345082,0,3
27-02-2020,1382345085,0,1382345082,0,3
28-02-2020,1382345085,0,1382345082,0,3
29-02-2020,1382345085,0,1382345082,0,3
01-03-2020,1382345085,0,1382345082,0,3
02-03-2020,1382345085,0,1382345080,2,3
03-03-2020,1382345085,0,1382345080,2,3
04-03-2020,1382345085,0,1382345057,25,3
05-03-2020,1382345085,0,1382345055,27,3
06-03-2020,1382345085,0,1382345054,28,3
07-03-2020,1382345085,0,1382345051,31,3
08-03-2020,1382345085,0,1382345046,36,3
09-03-2020,1382345085,0,1382345042,40,3
10-03-2020,1382345085,0,1382345029,52,4
11-03-2020,1382345085,1,1382345023,57,5
12-03-2020,1382345085,1,1382345012,68,5
