Date,N,D,S,I,R
22-01-2020,126407422,0,126407420,2,0
23-01-2020,126407422,0,126407420,2,0
24-01-2020,126407422,0,126407420,2,0
25-01-2020,126407422,0,126407420,2,0
26-01-2020,126407422,0,126407418,3,1
27-01-2020,126407422,0,126407418,3,1
28-01-2020,126407422,0,126407415,6,1
29-01-2020,126407422,0,126407415,6,1
30-01-2020,126407422,0,126407411,10,1
31-01-2020,126407422,0,126407407,14,1
01-02-2020,126407422,0,126407402,19,1
02-02-2020,126407422,0,126407402,19,1
03-02-2020,126407422,0,126407402,19,1
04-02-2020,126407422,0,126407400,21,1
05-02-2020,126407422,0,126407399,22,1
06-02-2020,126407422,0,126407399,22,1
07-02-2020,126407422,0,126407399,22,1
08-02-2020,126407422,0,126407398,23,1
09-02-2020,126407422,0,126407398,23,1
10-02-2020,126407422,0,126407396,22,4
11-02-2020,126407422,0,126407395,18,9
12-02-2020,126407422,0,126407394,19,9
13-02-2020,126407422,1,126407389,23,10
14-02-2020,126407422,1,126407379,33,10
15-02-2020,126407422,1,126407368,41,13
16-02-2020,126407422,1,126407362,47,13
17-02-2020,126407422,1,126407355,54,13
18-02-2020,126407422,2,126407343,64,15
19-02-2020,126407422,2,126407337,65,20
20-02-2020,126407422,2,126407327,75,20
21-02-2020,126407422,2,126407310,88,24
22-02-2020,126407422,2,126407285,113,24
23-02-2020,126407422,2,126407273,125,24
24-02-2020,126407422,2,126407262,136,24
25-02-2020,126407422,3,126407249,148,25
26-02-2020,126407422,3,126407230,167,25
27-02-2020,126407422,4,126407204,192,26
28-02-2020,126407422,5,126407186,209,27
29-02-2020,126407422,6,126407177,207,38
01-03-2020,126407422,6,126407163,221,38
02-03-2020,126407422,6,126407144,240,38
03-03-2020,126407422,6,126407124,249,49
04-03-2020,126407422,7,126407089,283,50
05-03-2020,126407422,7,126407057,315,50
06-03-2020,126407422,7,126407002,367,53
07-03-2020,126407422,7,126406956,383,83
08-03-2020,126407422,8,126406923,415,84
09-03-2020,126407422,10,126406895,441,86
10-03-2020,126407422,13,126406837,471,114
11-03-2020,126407422,15,126406782,507,133
12-03-2020,126407422,19,126406726,559,137
13-03-2020,126407422,21,126406689,594,139
14-03-2020,126407422,22,126406627,655,140
15-03-2020,126407422,24,126406596,684,142
16-03-2020,126407422,30,126406579,669,174
17-03-2020,126407422,30,126406529,719,174
18-03-2020,126407422,32,126406494,752,176
19-03-2020,126407422,33,126406454,785,183
20-03-2020,126407422,34,126406400,797,225
21-03-2020,126407422,36,126406363,791,268
22-03-2020,126407422,40,126406318,829,275
23-03-2020,126407422,41,126406278,868,276
24-03-2020,126407422,42,126406205,890,327
25-03-2020,126407422,45,126406108,959,355
26-03-2020,126407422,47,126406006,1010,406
27-03-2020,126407422,53,126405892,1105,425
28-03-2020,126407422,56,126405694,1268,460
29-03-2020,126407422,63,126405515,1420,487
30-03-2020,126407422,65,126405421,1512,489
31-03-2020,126407422,67,126405167,1764,491
01-04-2020,126407422,72,126404887,1991,544
02-04-2020,126407422,75,126404604,2271,547
03-04-2020,126407422,81,126404268,2559,595
04-04-2020,126407422,87,126403897,2924,601
05-04-2020,126407422,93,126403546,3269,607
06-04-2020,126407422,96,126403312,3439,671
07-04-2020,126407422,98,126402937,3795,690
08-04-2020,126407422,105,126402402,4293,727
09-04-2020,126407422,113,126401808,4869,745
10-04-2020,126407422,125,126401172,5440,810
11-04-2020,126407422,138,126400471,6051,900
12-04-2020,126407422,147,126399949,6564,909
13-04-2020,126407422,156,126399649,6833,940
14-04-2020,126407422,170,126399145,7308,969
15-04-2020,126407422,186,126398587,7796,1039
16-04-2020,126407422,204,126398024,8293,1105
17-04-2020,126407422,217,126397464,8806,1152
18-04-2020,126407422,236,126396874,9243,1305
19-04-2020,126407422,255,126396508,9500,1414
20-04-2020,126407422,275,126396164,9824,1434
