Date,N,D,S,I,R
22-01-2020,59436725,0,59436725,0,0
23-01-2020,59436725,0,59436725,0,0
24-01-2020,59436725,0,59436725,0,0
25-01-2020,59436725,0,59436725,0,0
26-01-2020,59436725,0,59436725,0,0
27-01-2020,59436725,0,59436725,0,0
28-01-2020,59436725,0,59436725,0,0
29-01-2020,59436725,0,59436725,0,0
30-01-2020,59436725,0,59436725,0,0
31-01-2020,59436725,0,59436725,0,0
01-02-2020,59436725,0,59436725,0,0
02-02-2020,59436725,0,59436725,0,0
03-02-2020,59436725,0,59436725,0,0
04-02-2020,59436725,0,59436725,0,0
05-02-2020,59436725,0,59436725,0,0
06-02-2020,59436725,0,59436725,0,0
07-02-2020,59436725,0,59436725,0,0
08-02-2020,59436725,0,59436725,0,0
09-02-2020,59436725,0,59436725,0,0
10-02-2020,59436725,0,59436725,0,0
11-02-2020,59436725,0,59436725,0,0
12-02-2020,59436725,0,59436725,0,0
13-02-2020,59436725,0,59436725,0,0
14-02-2020,59436725,0,59436725,0,0
15-02-2020,59436725,0,59436725,0,0
16-02-2020,59436725,0,59436725,0,0
17-02-2020,59436725,0,59436725,0,0
18-02-2020,59436725,0,59436725,0,0
19-02-2020,59436725,0,59436725,0,0
20-02-2020,59436725,0,59436725,0,0
21-02-2020,59436725,0,59436725,0,0
22-02-2020,59436725,0,59436725,0,0
23-02-2020,59436725,0,59436725,0,0
24-02-2020,59436725,0,59436725,0,0
25-02-2020,59436725,0,59436725,0,0
26-02-2020,59436725,0,59436725,0,0
27-02-2020,59436725,0,59436725,0,0
28-02-2020,59436725,0,59436725,0,0
29-02-2020,59436725,0,59436725,0,0
01-03-2020,59436725,0,59436725,0,0
02-03-2020,59436725,0,59436725,0,0
03-03-2020,59436725,0,59436725,0,0
04-03-2020,59436725,0,59436725,0,0
05-03-2020,59436725,0,59436724,1,0
06-03-2020,59436725,0,59436724,1,0
07-03-2020,59436725,0,59436724,1,0
08-03-2020,59436725,0,59436722,3,0
09-03-2020,59436725,0,59436722,3,0
10-03-2020,59436725,0,59436718,7,0
11-03-2020,59436725,0,59436712,13,0
12-03-2020,59436725,0,59436708,17,0
13-03-2020,59436725,0,59436701,24,0
14-03-2020,59436725,0,59436687,38,0
15-03-2020,59436725,0,59436674,51,0
16-03-2020,59436725,0,59436663,62,0
17-03-2020,59436725,0,59436663,62,0
18-03-2020,59436725,0,59436609,116,0
19-03-2020,59436725,0,59436575,150,0
20-03-2020,59436725,0,59436523,202,0
21-03-2020,59436725,0,59436485,240,0
22-03-2020,59436725,0,59436451,274,0
23-03-2020,59436725,0,59436323,402,0
24-03-2020,59436725,0,59436171,550,4
25-03-2020,59436725,0,59436016,697,12
26-03-2020,59436725,0,59435798,915,12
27-03-2020,59436725,1,59435555,1138,32
28-03-2020,59436725,1,59435538,1155,32
29-03-2020,59436725,2,59435445,1247,33
30-03-2020,59436725,3,59435399,1292,34
31-03-2020,59436725,5,59435372,1317,36
01-04-2020,59436725,5,59435345,1325,55
02-04-2020,59436725,5,59435263,1407,55
03-04-2020,59436725,9,59435220,1401,104
04-04-2020,59436725,9,59435140,1481,104
05-04-2020,59436725,11,59435070,1549,106
06-04-2020,59436725,12,59435039,1579,107
07-04-2020,59436725,13,59434976,1641,108
08-04-2020,59436725,18,59434880,1732,113
09-04-2020,59436725,18,59434791,1821,113
10-04-2020,59436725,24,59434722,1569,434
11-04-2020,59436725,25,59434697,1593,435
12-04-2020,59436725,25,59434552,1738,435
13-04-2020,59436725,27,59434453,1835,437
14-04-2020,59436725,27,59434310,1978,437
15-04-2020,59436725,34,59434219,2062,444
16-04-2020,59436725,48,59434120,1654,951
17-04-2020,59436725,50,59433942,1830,953
18-04-2020,59436725,52,59433691,2079,955
19-04-2020,59436725,54,59433567,2201,957
20-04-2020,59436725,58,59433425,2187,1113
21-04-2020,59436725,58,59433260,2352,1113
22-04-2020,59436725,65,59433090,2515,1120
23-04-2020,59436725,75,59432772,2405,1548
24-04-2020,59436725,79,59432505,2668,1552
25-04-2020,59436725,86,59432364,2802,1559
26-04-2020,59436725,87,59432179,2986,1560
27-04-2020,59436725,90,59431932,3230,1563
28-04-2020,59436725,93,59431729,2830,2166
29-04-2020,59436725,103,59431375,3174,2176
30-04-2020,59436725,103,59431078,3471,2176
01-05-2020,59436725,116,59430774,3453,2498
02-05-2020,59436725,123,59430389,3664,2672
03-05-2020,59436725,131,59429942,4103,2680
04-05-2020,59436725,138,59429505,4336,2884
05-05-2020,59436725,148,59429153,4678,2894
06-05-2020,59436725,153,59428917,4502,3306
07-05-2020,59436725,161,59428493,4918,3314
08-05-2020,59436725,178,59427830,5564,3331
09-05-2020,59436725,186,59427305,5251,4169
10-05-2020,59436725,194,59426710,5648,4367
11-05-2020,59436725,206,59426073,6089,4563
12-05-2020,59436725,206,59425375,6787,4563
13-05-2020,59436725,219,59424651,7110,4964
14-05-2020,59436725,238,59423986,6825,5914
15-05-2020,59436725,247,59423201,7194,6330
16-05-2020,59436725,261,59422370,7616,6739
17-05-2020,59436725,264,59421210,8245,7270
18-05-2020,59436725,286,59420292,8849,7584
19-05-2020,59436725,312,59419525,8928,8272
20-05-2020,59436725,339,59418722,8714,9289
21-05-2020,59436725,369,59417588,9818,9319
22-05-2020,59436725,397,59416600,9624,10501
23-05-2020,59436725,407,59415382,10832,10511
24-05-2020,59436725,429,59414142,11054,11529
25-05-2020,59436725,481,59413110,11217,12398
26-05-2020,59436725,524,59412461,10999,13265
27-05-2020,59436725,552,59410788,11934,14003
28-05-2020,59436725,577,59409322,12456,14947
29-05-2020,59436725,611,59407485,13536,15704
30-05-2020,59436725,643,59405758,14208,16759
31-05-2020,59436725,683,59404042,15191,17492
01-06-2020,59436725,705,59402368,16361,17996
02-06-2020,59436725,755,59400913,16744,19068
03-06-2020,59436725,792,59399200,17051,20474
04-06-2020,59436725,848,59395933,18633,22159
05-06-2020,59436725,908,59393291,19438,23996
06-06-2020,59436725,952,59390752,20763,25210
07-06-2020,59436725,998,59388440,22923,25362
08-06-2020,59436725,1080,59385846,23700,27179
09-06-2020,59436725,1162,59383734,22823,30168
10-06-2020,59436725,1210,59381304,22706,32715
11-06-2020,59436725,1284,59378157,24032,34536
12-06-2020,59436725,1354,59374798,25567,36360
13-06-2020,59436725,1423,59370989,27463,38273
14-06-2020,59436725,1480,59366687,30027,40011
15-06-2020,59436725,1568,59363192,32098,41435
16-06-2020,59436725,1625,59360391,32646,43688
17-06-2020,59436725,1674,59356313,34407,46005
18-06-2020,59436725,1737,59352835,37233,46657
19-06-2020,59436725,1831,59349010,38059,49656
20-06-2020,59436725,1877,59344044,40478,52203
21-06-2020,59436725,1930,59339423,43764,53538
22-06-2020,59436725,1991,59335135,46155,55435
23-06-2020,59436725,2102,59330617,48961,57147
24-06-2020,59436725,2205,59324929,52717,59079
25-06-2020,59436725,2292,59318350,56109,62266
26-06-2020,59436725,2340,59312135,58139,66451
27-06-2020,59436725,2413,59304925,62293,69507
